,Intercept,Stop_sequence,scheduled_speed_per_stop,stops_travelled,Time_bin_xxx,DayOfWeek,Prediction
74861,1.0,61.0,0.9836065573770492,57.0,10110.0,1.0,2.679436308016029
113999,1.0,38.0,0.9836065573770492,51.0,16110.0,3.0,23.7
57935,1.0,56.0,0.9836065573770492,54.0,16000.0,3.0,1.7
66883,1.0,61.0,0.9836065573770492,59.0,9111.0,0.0,6.481257140229603
113617,1.0,14.0,0.9836065573770492,60.0,13110.0,4.0,62.3
17413,1.0,36.0,0.9836065573770492,41.0,16000.0,1.0,24.43333333333333
55048,1.0,45.0,0.9836065573770492,53.0,16000.0,3.0,17.566666666666666
11013,1.0,26.0,0.9836065573770492,53.0,17100.0,3.0,48.681428571428576
126172,1.0,48.0,0.9836065573770492,52.0,14111.0,4.0,10.2
134794,1.0,59.0,0.9836065573770492,55.0,7110.0,3.0,20.322843267843268
92188,1.0,33.0,0.9836065573770492,49.0,13110.0,0.0,29.7
45614,1.0,35.0,0.9836065573770492,26.0,17110.0,4.0,33.88
100058,1.0,19.0,0.9836065573770492,48.0,10000.0,0.0,36.1
85002,1.0,12.0,0.9836065573770492,54.0,8000.0,3.0,71.40666666666667
7685,1.0,25.0,0.9836065573770492,44.0,9110.0,3.0,31.89307359307359
51995,1.0,36.0,0.9836065573770492,35.0,17110.0,3.0,14.60469648629929
52093,1.0,36.0,0.9836065573770492,54.0,13100.0,4.0,24.0
132515,1.0,56.0,0.9836065573770492,53.0,9100.0,4.0,3.513816167492638
14730,1.0,27.0,0.9836065573770492,52.0,16100.0,4.0,29.79
50688,1.0,35.0,0.9836065573770492,55.0,19110.0,2.0,24.675
138969,1.0,20.0,0.9836065573770492,48.0,16100.0,4.0,59.4
96666,1.0,18.0,0.9836065573770492,55.0,10110.0,2.0,52.57142857142858
128854,1.0,27.0,0.9836065573770492,32.0,9111.0,1.0,33.4
8483,1.0,25.0,0.9836065573770492,54.0,19111.0,1.0,33.46666666666667
81363,1.0,32.0,0.9836065573770492,58.0,16100.0,4.0,44.16666666666667
50749,1.0,35.0,0.9836065573770492,57.0,10100.0,3.0,20.594841269841268
57788,1.0,56.0,0.9836065573770492,59.0,18110.0,1.0,14.5
3266,1.0,9.0,0.9836065573770492,52.0,18100.0,1.0,50.63333333333334
107756,1.0,23.0,0.9836065573770492,33.0,15000.0,2.0,20.0
78432,1.0,8.0,0.9836065573770492,57.0,8100.0,1.0,68.45
43074,1.0,25.0,0.9836065573770492,56.0,12000.0,3.0,35.42
66960,1.0,61.0,0.9836065573770492,56.0,10100.0,0.0,11.8200777000777
3554,1.0,9.0,0.9836065573770492,53.0,11110.0,5.0,59.2
